"All lines", "Todas as linhas"
"Lines 1 and 2", "Linhas 1 e 2"
"Lines 1 and 2 and 3", "Linhas 1 a 3"
"Only line 1", "Somente a linha 1"
"Required Street Lines", "Linhas de endereço obrigatórias"
"Set No to show individual labels","Defina como Não para mostrar as labels individuais"
"Show main street label	", "Mostrar a label principal do endereço"
"Street line 1 label", "Label da linha 1"
"Street line 2 label", "Label da linha 2"
"Street line 3 label", "Label da linha 3"
"Street line 4 label", "Label da linha 4"
